Sample_ID,Original_Sentence,Original_Intent,Original_Entities,Augmented_Sentence,Augmented_Intent,Augmented_Entities,Augmentation_Method,Quality_Score_1_5,Naturalness_Score_1_5,Comments,Approved_Yes_No
1,"tiếng ti vi to quá, giảm đi ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]","tiếng ti vi to quá, giảm xuống đi",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
2,"tiếng ti vi to quá, giảm đi ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]","tiếng ti vi to quá, giảm đi  được chứ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",politeness_addition,,,,
3,giảm cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",điều chỉnh xuống cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
4,giảm cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",giảm cho anh cái radio mau lên nha,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
5,trời nóng quá giảm nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",trời nóng quá điều chỉnh xuống nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
6,tiếng to quá giảm cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",tiếng to quá điều chỉnh xuống cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
7,tiếng to quá giảm cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",Làm ơn tiếng to quá giảm cho mình cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
8,em gì ơi tăng giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""máy nghe nhạc""}]",em gì ơi nâng giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""máy nghe nhạc""}]",synonym_replacement,,,,
9,em gì ơi tăng giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""máy nghe nhạc""}]",Có thể em gì ơi tăng giúp anh cái máy nghe nhạc lên với được chứ,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""máy nghe nhạc""}]",politeness_addition,,,,
10,bạn ơi giảm giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",bạn ơi điều chỉnh xuống giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",synonym_replacement,,,,
11,bạn ơi giảm giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",Có thể bạn ơi giảm giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",politeness_addition,,,,
12,âm lượng to quá hãy giảm cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",âm lượng to quá hãy điều chỉnh xuống cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
13,tăng giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",điều chỉnh lên giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",synonym_replacement,,,,
14,tăng giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",tăng giúp mình cái ti vi trong 23 tiếng 56 phút nhá được chứ,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",politeness_addition,,,,
15,giảm máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",điều chỉnh xuống máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
16,giảm máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Bạn ơi giảm máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
17,ồn quá giảm cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",ồn quá giảm xuống cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
18,"em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","em ơi, hạ cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
19,"em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","Có thể em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
20,em ơi tăng radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",em ơi tăng lên radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",synonym_replacement,,,,
21,em ơi tăng radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",Giúp tôi em ơi tăng radio lên 38% giúp chị với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",politeness_addition,,,,
22,"bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","bạn ơi, hãy hạ radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
23,"bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
