Sample_ID,Original_Sentence,Original_Intent,Original_Entities,Augmented_Sentence,Augmented_Intent,Augmented_Entities,Augmentation_Method,Quality_Score_1_5,Naturalness_Score_1_5,Comments,Approved_Yes_No
1,bật đèn phòng khách,bật thiết bị,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""living_space"", ""filler"": ""phòng khách""}]",kích hoạt đèn phòng khách,bật thiết bị,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""living_space"", ""filler"": ""phòng khách""}]",synonym_replacement,,,,
2,tắt máy lạnh,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",ngắt máy lạnh,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
3,tăng độ sáng đèn bàn,tăng độ sáng của thiết bị,"[{""type"": ""device"", ""filler"": ""đèn bàn""}]",tăng lên độ sáng đèn bàn,tăng độ sáng của thiết bị,"[{""type"": ""device"", ""filler"": ""đèn bàn""}]",synonym_replacement,,,,
4,tăng độ sáng đèn bàn,tăng độ sáng của thiết bị,"[{""type"": ""device"", ""filler"": ""đèn bàn""}]",Làm ơn tăng độ sáng đèn bàn,tăng độ sáng của thiết bị,"[{""type"": ""device"", ""filler"": ""đèn bàn""}]",politeness_addition,,,,
5,giảm âm lượng radio trong phòng ngủ,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng ngủ""}]",hạ âm lượng radio trong phòng ngủ,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng ngủ""}]",synonym_replacement,,,,
6,giảm âm lượng radio trong phòng ngủ,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng ngủ""}]",Anh/chị ơi giảm âm lượng radio trong phòng ngủ nha,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng ngủ""}]",politeness_addition,,,,
7,giảm âm lượng radio trong phòng ngủ,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng ngủ""}]","trong phòng, giảm âm lượng radio ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng ngủ""}]",sentence_restructuring,,,,
8,kiểm tra tình trạng điều hòa,kiểm tra tình trạng thiết bị,"[{""type"": ""device"", ""filler"": ""điều hòa""}]",Xin hãy kiểm tra tình trạng điều hòa đi,kiểm tra tình trạng thiết bị,"[{""type"": ""device"", ""filler"": ""điều hòa""}]",politeness_addition,,,,
9,mở cửa chính lúc 8 giờ tối,mở thiết bị,"[{""type"": ""device"", ""filler"": ""cửa chính""}, {""type"": ""time_at"", ""filler"": ""8 giờ tối""}]",bật cửa chính lúc 8 giờ tối,mở thiết bị,"[{""type"": ""device"", ""filler"": ""cửa chính""}, {""type"": ""time_at"", ""filler"": ""8 giờ tối""}]",synonym_replacement,,,,
10,mở cửa chính lúc 8 giờ tối,mở thiết bị,"[{""type"": ""device"", ""filler"": ""cửa chính""}, {""type"": ""time_at"", ""filler"": ""8 giờ tối""}]","lúc 8, mở cửa chính ",mở thiết bị,"[{""type"": ""device"", ""filler"": ""cửa chính""}, {""type"": ""time_at"", ""filler"": ""8 giờ tối""}]",sentence_restructuring,,,,
11,đóng rèm phòng ngủ,đóng thiết bị,"[{""type"": ""device"", ""filler"": ""rèm""}, {""type"": ""living_space"", ""filler"": ""phòng ngủ""}]",ngắt rèm phòng ngủ,đóng thiết bị,"[{""type"": ""device"", ""filler"": ""rèm""}, {""type"": ""living_space"", ""filler"": ""phòng ngủ""}]",synonym_replacement,,,,
12,đóng rèm phòng ngủ,đóng thiết bị,"[{""type"": ""device"", ""filler"": ""rèm""}, {""type"": ""living_space"", ""filler"": ""phòng ngủ""}]",đóng rèm phòng ngủ nhé,đóng thiết bị,"[{""type"": ""device"", ""filler"": ""rèm""}, {""type"": ""living_space"", ""filler"": ""phòng ngủ""}]",politeness_addition,,,,
13,bật quạt trần trong 30 phút,bật thiết bị,"[{""type"": ""device"", ""filler"": ""quạt trần""}, {""type"": ""duration"", ""filler"": ""30 phút""}]",kích hoạt quạt trần trong 30 phút,bật thiết bị,"[{""type"": ""device"", ""filler"": ""quạt trần""}, {""type"": ""duration"", ""filler"": ""30 phút""}]",synonym_replacement,,,,
14,bật quạt trần trong 30 phút,bật thiết bị,"[{""type"": ""device"", ""filler"": ""quạt trần""}, {""type"": ""duration"", ""filler"": ""30 phút""}]",Có thể bật quạt trần trong 30 phút với,bật thiết bị,"[{""type"": ""device"", ""filler"": ""quạt trần""}, {""type"": ""duration"", ""filler"": ""30 phút""}]",politeness_addition,,,,
15,bật quạt trần trong 30 phút,bật thiết bị,"[{""type"": ""device"", ""filler"": ""quạt trần""}, {""type"": ""duration"", ""filler"": ""30 phút""}]","trong 30, bật quạt trần ",bật thiết bị,"[{""type"": ""device"", ""filler"": ""quạt trần""}, {""type"": ""duration"", ""filler"": ""30 phút""}]",sentence_restructuring,,,,
16,tắt tivi sau 1 tiếng,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""tivi""}, {""type"": ""delay_duration"", ""filler"": ""1 tiếng""}]",ngắt tivi sau 1 tiếng,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""tivi""}, {""type"": ""delay_duration"", ""filler"": ""1 tiếng""}]",synonym_replacement,,,,
17,tắt tivi sau 1 tiếng,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""tivi""}, {""type"": ""delay_duration"", ""filler"": ""1 tiếng""}]",Xin hãy tắt tivi sau 1 tiếng,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""tivi""}, {""type"": ""delay_duration"", ""filler"": ""1 tiếng""}]",politeness_addition,,,,
