Sample_ID,Original_Sentence,Original_Intent,Original_Entities,Augmented_Sentence,Augmented_Intent,Augmented_Entities,Augmentation_Method,Quality_Score_1_5,Naturalness_Score_1_5,Comments,Approved_Yes_No
1,"tiếng ti vi to quá, giảm đi ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]","tiếng ti vi to quá, hạ đi",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
2,"tiếng ti vi to quá, giảm đi ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]","Anh/chị ơi tiếng ti vi to quá, giảm đi  đi",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",politeness_addition,,,,
3,giảm cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",giảm xuống cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
4,trời nóng quá giảm nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",trời nóng quá giảm xuống nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
5,trời nóng quá giảm nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",trời nóng quá giảm nhiệt độ của cái máy lạnh xuống nhớ được chứ,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
6,tiếng to quá giảm cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",tiếng to quá hạ cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
7,tiếng to quá giảm cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",tiếng to quá giảm cho mình cái radio xuống được không,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
8,em gì ơi tăng giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""máy nghe nhạc""}]",em gì ơi điều chỉnh lên giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""máy nghe nhạc""}]",synonym_replacement,,,,
9,bạn ơi giảm giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",bạn ơi điều chỉnh xuống giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",synonym_replacement,,,,
10,bạn ơi giảm giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",bạn ơi giảm giúp mình bóng sưởi về 76% với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",politeness_addition,,,,
11,âm lượng to quá hãy giảm cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",âm lượng to quá hãy điều chỉnh xuống cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
12,tăng giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",nâng giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",synonym_replacement,,,,
13,giảm máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",giảm xuống máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
14,giảm máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",giảm máy lạnh em ơi được không,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
15,ồn quá giảm cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",ồn quá giảm xuống cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
16,"em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","em ơi, giảm xuống cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
17,"em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","em ơi, giảm cho anh cái máy lạnh với với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
18,em ơi tăng radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",em ơi tăng lên radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",synonym_replacement,,,,
19,em ơi tăng radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",em ơi tăng radio lên 38% giúp chị nhé,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",politeness_addition,,,,
20,"bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","bạn ơi, hãy điều chỉnh xuống radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
21,"bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha giúp tôi",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
22,bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",bạn ơi lạnh quá hạ giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
23,bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Anh/chị ơi bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
24,tăng radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}, {""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}]",điều chỉnh lên radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}, {""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}]",synonym_replacement,,,,
25,tăng radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}, {""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}]",Xin hãy tăng radio thêm 31% lúc 11 giờ 27 phút cho mình giúp tôi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}, {""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}]",politeness_addition,,,,
26,"ồn quá, bạn giảm cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]","ồn quá, bạn giảm xuống cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
27,"ồn quá, bạn giảm cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]","Giúp tôi ồn quá, bạn giảm cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
28,em yêu ơi giảm giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em yêu ơi giảm xuống giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
29,tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",tiếng radio ở phòng thay đồ số 2 bé quá bạn nâng lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",synonym_replacement,,,,
30,tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",politeness_addition,,,,
31,em ơi giảm giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",em ơi hạ giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",synonym_replacement,,,,
32,em ơi giảm cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em ơi hạ cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
33,bạn ơi giảm cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",bạn ơi điều chỉnh xuống cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
34,bạn ơi giảm cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",bạn ơi giảm cho radio xuống mức 65% nhé giúp tôi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
35,em ơi lạnh quá giảm giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em ơi lạnh quá giảm xuống giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
36,em ơi lạnh quá giảm giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Xin hãy em ơi lạnh quá giảm giúp anh cái máy lạnh xuống đi nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
37,trợ lý ảo ơi giảm giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",trợ lý ảo ơi giảm xuống giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
38,lạnh quá em ơi giảm giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",lạnh quá em ơi giảm xuống giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
39,lạnh quá em ơi giảm giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",lạnh quá em ơi giảm giúp anh cái máy lạnh với đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
40,ông cháu ơi tăng radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",ông cháu ơi tăng lên radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
41,ông cháu ơi tăng radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",ông cháu ơi tăng radio giúp mình với nha,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
42,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]","bạn ơi, tăng lên cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",synonym_replacement,,,,
43,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]","bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá nhé",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",politeness_addition,,,,
44,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]","trong 23, bạn ơi, tăng cái ti vi cho mình ",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",sentence_restructuring,,,,
45,tăng radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",tăng lên radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",synonym_replacement,,,,
46,tăng radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",tăng radio phòng thay đồ số 2 lên 38% đi được không,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",politeness_addition,,,,
47,em ơi tăng cho anh cái radio ở phòng thay đồ số 2 lên 38% vào lúc 4 tiếng 44 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}, {""type"": ""duration"", ""filler"": ""4 tiếng 44 phút""}]","vào lúc, em ơi tăng cho anh cái radio ở phòng thay đồ số 2 lên 38% ",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}, {""type"": ""duration"", ""filler"": ""4 tiếng 44 phút""}]",sentence_restructuring,,,,
